Area,Setor,Municipio,Empregados
Saúde e bem-estar,Serviços,Mauá,43429
"Agricultura, silvicultura, pesca e veterinária",Serviços,Mauá,43429
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Mauá,43429
"Ciências naturais, matemática e estatística",Serviços,Mauá,43429
"Negócios, administração e direito",Serviços,Mauá,43429
"Ciências sociais, comunicação e informação",Serviços,Mauá,43429
Artes e humanidades,Serviços,Mauá,43429
Educação,Serviços,Taboão da Serra,42986
Serviços,Serviços,Taboão da Serra,42986
Saúde e bem-estar,Serviços,Taboão da Serra,42986
"Agricultura, silvicultura, pesca e veterinária",Serviços,Taboão da Serra,42986
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Taboão da Serra,42986
"Ciências naturais, matemática e estatística",Serviços,Taboão da Serra,42986
"Negócios, administração e direito",Serviços,Taboão da Serra,42986
"Ciências sociais, comunicação e informação",Serviços,Taboão da Serra,42986
Artes e humanidades,Serviços,Taboão da Serra,42986
Educação,Serviços,Cotia,42592
Serviços,Serviços,Cotia,42592
Saúde e bem-estar,Serviços,Cotia,42592
"Agricultura, silvicultura, pesca e veterinária",Serviços,Cotia,42592
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Cotia,42592
"Ciências naturais, matemática e estatística",Serviços,Cotia,42592
"Negócios, administração e direito",Serviços,Cotia,42592
"Ciências sociais, comunicação e informação",Serviços,Cotia,42592
Artes e humanidades,Serviços,Cotia,42592
Educação,Serviços,Presidente Prudente,42356
Serviços,Serviços,Presidente Prudente,42356
Saúde e bem-estar,Serviços,Presidente Prudente,42356
"Agricultura, silvicultura, pesca e veterinária",Serviços,Presidente Prudente,42356
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Presidente Prudente,42356
"Ciências naturais, matemática e estatística",Serviços,Presidente Prudente,42356
"Negócios, administração e direito",Serviços,Presidente Prudente,42356
"Ciências sociais, comunicação e informação",Serviços,Presidente Prudente,42356
Artes e humanidades,Serviços,Presidente Prudente,42356
"Negócios, administração e direito",Comércio,São José do Rio Preto,41903
Serviços,Comércio,São José do Rio Preto,41903
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,São José do Rio Preto,41903
"Ciências naturais, matemática e estatística",Comércio,São José do Rio Preto,41903
"Ciências naturais, matemática e estatística",Indústria,Diadema,41051
"Agricultura, silvicultura, pesca e veterinária",Indústria,Diadema,41051
"Engenharia, produção e construção",Indústria,Diadema,41051
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Diadema,41051
Educação,Serviços,Praia Grande,40049
Serviços,Serviços,Praia Grande,40049
Saúde e bem-estar,Serviços,Praia Grande,40049
"Agricultura, silvicultura, pesca e veterinária",Serviços,Praia Grande,40049
