Curso,Instituicao,Estado,Ano,Taxa
SISTEMAS DE INFORMAÇÃO,Centro Universitário Zarns - Salvador,Bahia,2022,98.4
EDUCAÇÃO FÍSICA,Centro Universitário de Excelência Eniac,São Paulo,2022,98.4
EDUCAÇÃO FÍSICA,Centro Universitário de Excelência Eniac,São Paulo,2021,98.4
PEDAGOGIA,FACULDADE DE HORTOLÂNDIA,São Paulo,2022,98.4
PEDAGOGIA,FACULDADE DE HORTOLÂNDIA,São Paulo,2023,98.4
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2022,98.4
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2023,98.4
SISTEMAS DE INFORMAÇÃO,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,São Paulo,2023,98.3
SISTEMAS DE INFORMAÇÃO,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.3
PEDAGOGIA,FACULDADE IBRA DE TECNOLOGIA,São Paulo,2023,98.3
PEDAGOGIA,FACULDADE IBRA DE TECNOLOGIA,São Paulo,2020,98.3
PEDAGOGIA,FACULDADE IBRA DE TECNOLOGIA,São Paulo,2022,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,São Paulo,2022,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Amazonas,2022,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Goiás,2022,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,São Paulo,2023,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Distrito Federal,2023,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Amazonas,2023,98.3
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Goiás,2023,98.3
BIOMEDICINA,UNIVERSIDADE CRUZEIRO DO SUL,São Paulo,2020,98.3
PEDAGOGIA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY,Pernambuco,2020,98.3
PEDAGOGIA,FACULDADE IBRA DE TECNOLOGIA,São Paulo,2021,98.3
ADMINISTRAÇÃO,Faculdade Fasipe Cuiabá,Mato Grosso,2021,98.3
ADMINISTRAÇÃO,Faculdade Fasipe Cuiabá,Mato Grosso,2023,98.3
ADMINISTRAÇÃO,Faculdade Fasipe Cuiabá,Mato Grosso,2020,98.3
ADMINISTRAÇÃO,Faculdade Fasipe Cuiabá,Mato Grosso,2022,98.3
ADMINISTRAÇÃO,FACULDADE DELTA,Goiás,2023,98.3
PSICOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2022,98.3
PSICOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2023,98.3
ENGENHARIA ELÉTRICA,Centro Universitário Zarns - Salvador,Bahia,2023,98.3
DIREITO,FACULDADE DOIS DE JULHO,Bahia,2023,98.3
DIREITO,FACULDADE DOIS DE JULHO,Bahia,2020,98.3
PUBLICIDADE E PROPAGANDA,Centro Universitário Zarns - Salvador,Bahia,2021,98.3
DIREITO,FACULDADE DOIS DE JULHO,Bahia,2022,98.3
ENGENHARIA ELÉTRICA,Centro Universitário Zarns - Salvador,Bahia,2022,98.3
PSICOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2021,98.3
DIREITO,FACULDADE DOIS DE JULHO,Bahia,2021,98.3
ENFERMAGEM,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2023,98.2
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,98.2
ENGENHARIA AMBIENTAL E SANITÁRIA,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2023,98.2
ENGENHARIA AMBIENTAL E SANITÁRIA,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2021,98.2
ENGENHARIA AMBIENTAL E SANITÁRIA,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2022,98.2
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,98.2
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,98.2
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,98.2
DIREITO,FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES,Pernambuco,2023,98.2
DIREITO,FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES,Pernambuco,2022,98.2
NUTRIÇÃO,FACULDADE ANHANGUERA DE JOINVILLE,Santa Catarina,2023,98.2
PEDAGOGIA,FACULDADE GOYAZES DO DISTRITO FEDERAL,Distrito Federal,2023,98.2
PEDAGOGIA,FACULDADE GOYAZES DO DISTRITO FEDERAL,Distrito Federal,2021,98.2
PEDAGOGIA,FACULDADE GOYAZES DO DISTRITO FEDERAL,Distrito Federal,2022,98.2
ENFERMAGEM,Centro Universitário Ruy Barbosa Wyden,Bahia,2020,98.2
ENFERMAGEM,Centro Universitário Ruy Barbosa Wyden,Bahia,2022,98.2
